"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"6";"";"31-XX";"B3F-31XX";"S1, S2, S3, S4, S5, S6";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"CN1";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"";"LED5MM";"LED5MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"MA03-1";"MA03-1";"1WIRE, ADC1, ADC2";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"48";"";"";"";"";"";"";
"2";"";"MA04-1";"MA04-1";"I2C, UART";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"41";"";"";"";"";"";"";
"1";"";"MA05-2";"MA05-2";"CONECTOR";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";
"1";"";"MA06-1";"MA06-1";"SPI";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"28";"";"";"";"";"";"";
"1";"";"SW_DIP-6";"EDG-06";"SW3";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"2";"";"SW_DIP-7";"EDG-07";"SW1, SW2";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"1";"";"SW_DIP-8";"EDG-08";"SW4";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";
"6";"10k";"R-EU_0204/2V";"0204V";"R23, R24, R25, R26, R27, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"11";"";"";"R";"";"";"";
"2";"10k";"R-EU_0204/7";"0204/7";"R29, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"79";"";"";"R";"";"";"";
"1";"2N2222";"2N2222";"TO92-EBC-OVAL";"T1";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24";"470";"R-EU_0204/2V";"0204V";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R31, R32";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"11";"";"";"R";"";"";"";
"1";"5V-12mm";"F/CM12P";"F/CM12P";"BUZZER";"BUZZER Source: Buerklin";"";"";"";"";"";"unknown";"unknown";"";"";"9";"";"";"";"";"";"";
"2";"7SEG-CK";"7SEG-CK";"7SEG-13";"DS1, DS2";"7-segment DISPLAY";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"Display";"";"7-Segment";
"1";"FRANZINHO";"FRANZINHO";"ESP32-FRANZINHO";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IPS-LCD-1.3"";"DISPLAY";"DISPLAY";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
